neute_4235	NEUROSPORA_TETRASPERMA_FGSC_2508_MAT_A	510952	NEUT9
niteu_5654	NITROSOMONAS_EUROPAEA_ATCC_19718	XXXX	NITEU
nitga_5556	CANDIDATUS_NITROSOSPHAERA_GARGENSIS_GA9.2	XXXX	NITGG
nitma_5538	NITROSOPUMILUS_MARITIMUS	XXXX	NITMS
nitoc_5660	NITROSOCOCCUS_OCEANI_ATCC_19707	XXXX	NITOC
nitsp_5648	NITRATIRUPTOR_SP._SB155-2	XXXX	NITSB
nomle_5376	NOMASCUS_LEUCOGENYS	61853	NOMLE
nosaz_4700	NOSTOC_AZOLLAE_0708	XXXX	NOSA0
nosce_4242	NOSEMA_CERANAE	xxxx	NOSCE
nospu_4701	NOSTOC_PUNCTIFORME_PCC_73102	XXXX	NOSP7
ochpr_3198	OCHOTONA_PRINCEPS	9978	OCHPR
ornan_1771	ORNITHORHYNCHUS_ANATINUS	9258	ORNAN
oryla_366	ORYZIAS_LATIPES	8090	ORYLA
orysa_3478	ORYZA_SATIVA_JAPONICA_GROUP	39947	ORYSJ
ostlu_3071	OSTREOCOCCUS_LUCIMARINUS	436017	OSTLU
ostrc_3475	OSTREOCOCCUS_SP._RCC809	xxxx	OSTRC
ostta_3072	OSTREOCOCCUS_TAURI	70448	OSTTA
otoga_3199	OTOLEMUR_GARNETTII	30611	OTOGA
pantr_7	PAN_TROGLODYTES	9598	PANTR
parim_1911	PARACOCCIDIOIDES_BRASILIENSIS_PB03	XXXX	PARIM
parte_3322	PARAMECIUM_TETRAURELIA	xxxx	PARTE
patat_5777	PATELLARIA_ATRATA_	XXXX	PATAT
pedhu_1258	PEDICULUS_HUMANUS	121224	PEDHC
pelsi_1780	PELODISCUS_SINENSIS	XXXX	PELSI
pench_4169	PENICILLIUM_CHRYSOGENUM	5076	PENCH
penma_4226	PENICILLIUM_MARNEFFEI_ATCC_18224	XXXX	PENMA
perma_4246	PERKINSUS_MARINUS	xxxx	PERMA
petma_3172	PETROMYZON_MARINUS	xxxx	PETMA
phach_3431	PHANEROCHAETE_CHRYSOSPORIUM	5306	PHACH
stano_2938	STAGONOSPORA_NODORUM	xxxx	PHANO
phatr_3323	PHAEODACTYLUM_TRICORNUTUM	xxxx	PHATR
phavu_3615	PHASEOLUS_VULGARIS	xxxx	PHAVU
phybl_2944	PHYCOMYCES_BLAKESLEEANUS	4837	PHYBL
phyin_4247	PHYTOPHTHORA_INFESTANS	403677	PHYIT
phypa_3479	PHYSCOMITRELLA_PATENS_SP._PATENS	XXXX	PHYPA
phyra_2945	PHYTOPHTHORA_RAMORUM	xxxx	PHYRA
physo_2946	PHYTOPHTHORA_SOJAE	xxxx	PHYSO
picgu_3037	PICHIA_GUILLIERMONDII	xxxx	PICGU
picpa_4220	PICHIA_PASTORIS_GS115	XXXX	PICPA
picst_2947	PICHIA_STIPITIS	322104	PICST
picto_5358	PICROPHILUS_TORRIDUS_DSM_9790	XXXX	PICTO
pieho_5778	PIEDRAIA_HORTAE	XXXX	PIEHO
sussc_371	SUS_SCROFA	9823	PIGXX
plabe_3356	PLASMODIUM_BERGHEI	xxxx	PLABE
plach_4067	PLASMODIUM_CHABAUDI	xxxx	PLACH
plaga_4069	PLASMODIUM_GALLINACEUM	xxxx	PLAGA
plakn_4066	PLASMODIUM_KNOWLESI	xxxx	PLAKN
plare_4070	PLASMODIUM_REICHENOWI	XXXX	PLARE
plavi_3358	PLASMODIUM_VIVAX	xxxx	PLAVI
playo_3359	PLASMODIUM_YOELII	xxxx	PLAYO
pleos_4176	PLEUROTUS_OSTREATUS_PC15	xxxx	PLEOS
plesi_5779	PLEOMASSARIA_SIPARIA	XXXX	PLESI
podan_3131	PODOSPORA_ANSERINA	xxxx	PODAN
polci_5780	POLYCHAETON_CITRI_	XXXX	POLCI
